課程名稱,上課地點,開放報名,開課日期,性質
美妝資訊平面設計實務班 第01期,新竹縣,2020/01/01,2020/05/18,職前
托育人員專業訓練課程1班 第03期,新竹縣,2019/10/05,2019/10/22,職前
樂齡陪伴及家事服務訓練班 第01期,新竹縣,2019/09/20,2019/11/08,職前
美容舒壓專業人員訓練班 第01期,新竹縣,2019/09/16,2019/10/31,職前
友善農業耕作班 第02期,新竹縣,2019/09/02,2019/10/28,職前
中餐技能實用班 第01期,新竹縣,2019/08/23,2019/10/28,職前
2019年照顧服務員職業訓練班C班 第03期,新竹縣,2019/08/19,2019/10/07,職前
2019年照服員自訓自用班 第01期,新竹縣,2019/08/01,2019/09/02,職前
心馨烘焙坊實務 第01期,新竹縣,2019/07/17,2019/08/19,職前
複合餐飲食品加工班 第01期,新竹縣,2019/06/17,2019/08/26,職前
複合餐飲食品加工班-竹東班 第01期,新竹縣,2019/06/17,2019/07/18,職前
2019年照顧服務員職業訓練班B班 第02期,新竹縣,2019/06/10,2019/07/29,職前
布布線彩文創設計培訓班 第01期,新竹縣,2019/06/10,2019/08/05,職前
烘焙食品技能養成班 第01期,新竹縣,2019/05/24,2019/06/17,職前
坐月子居家服務員訓練班 第01期,新竹縣,2019/05/17,2019/08/26,職前
原住民風味餐人才訓練班 第01期,新竹縣,2019/05/17,2019/08/06,職前
熱蠟美膚美容實務班 第01期,新竹縣,2019/05/16,2019/09/02,職前
時尚美容美甲美睫班 第01期,新竹縣,2019/05/16,2019/06/24,職前
創意飾品服飾製作修改班 第01期,新竹縣,2019/05/16,2019/06/19,職前
紋繡眉睫專業技能班 第01期,新竹縣,2019/05/08,2019/07/01,職前
照顧服務員訓練班第二期 第02期,新竹縣,2019/05/01,2019/07/22,職前
手感人氣烘焙飲料實務(西點蛋糕)(新竹) 第02期,新竹縣,2019/04/30,2019/08/28,職前
托育人員專業訓練課程1班 第02期,新竹縣,2019/04/25,2019/07/30,職前
托育人員專業訓練課程A班 第01期,新竹縣,2019/04/25,2019/07/13,職前
108年度照顧服務員職業訓練班 第01期,新竹縣,2019/04/18,2019/06/08,職前
原住民織品藤藝設計培訓班 第01期,新竹縣,2019/04/08,2019/05/23,職前
2019年照顧服務員職業訓練班A班 第01期,新竹縣,2019/03/18,2019/05/06,職前
照顧服務員職前訓練專班 第01期,新竹縣,2019/03/11,2019/04/08,職前
照顧服務員訓練班第一期 第01期,新竹縣,2019/03/07,2019/05/18,職前
原住民部落民宿房務餐飲實務（司馬庫斯） 第01期,新竹縣,2019/02/25,2019/03/19,職前
108年度照顧服務員職前專班(假日班) 第01期,新竹縣,2019/02/01,2019/06/15,職前
友善農業耕作班 第01期,新竹縣,2019/01/29,2019/05/27,職前
中西茶點實務班(中式麵食)(新竹) 第01期,新竹縣,2019/01/23,2019/05/22,職前
行動美容技能訓練班 第01期,新竹縣,2019/01/21,2019/03/29,職前
服飾製作技能多元應用班(其他類-原住民融合式訓練-新竹縣) 第01期,新竹縣,2019/01/18,2019/03/19,職前
中餐技能訓練班-原住民融合式訓練-新竹市縣及苗栗縣 第01期,新竹縣,2019/01/16,2019/03/25,職前
產品結構設計實務班 第01期,新竹縣,2019/01/01,2019/09/09,職前
行政資訊職能培訓班 第01期,新竹縣,2019/01/01,2019/08/12,職前
冷凍空調裝修就業專 第01期,新竹縣,2018/11/25,2019/03/15,職前
手感人氣烘焙飲料實務(西點蛋糕)(新竹) 第01期,新竹縣,2018/10/01,2019/01/15,職前
電腦繪圖美編實務（新竹） 第01期,新竹縣,2018/10/01,2019/01/16,職前
