課程名稱,上課地點,開放報名,開課日期,性質
養生月子膳食製作班 第01期,高雄市,2022/10/13,2022/12/05,職前
英文領隊導遊帶團實務訓練班第01期,高雄市前金區五福三路21號7樓,2022/10/12,2022/11/11,在職
職業安全衛生管理員安全衛生教育訓練班第01期,高雄市楠梓區楠梓新路393號3樓第3訓練教室,2022/10/12,2022/11/11,在職
咖啡烘焙與感官實務高階班,高雄市新興區七賢一路469號8樓之3,2022/10/12,2022/11/11,在職
Premiere數位影音後製技巧實戰班第01期,高雄市三民區建國二路255號3樓,2022/10/12,2022/11/12,在職
生活傢飾藝術彩繪實務班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/10/11,2022/11/10,在職
企業內部講師實務訓練班第01期,高雄市新興區中山二路472號12樓之12,2022/10/11,2022/11/22,在職
西點蛋糕製作班,高雄市新興區七賢二路7號,2022/10/10,2022/11/09,在職
中小企業主管財稅管理與營運思維實務班第02期,高雄市前金區大同二路145號5樓之五,2022/10/10,2022/11/09,在職
甲種職業安全衛生業務主管訓練班第01期,高雄市前鎮區一心二路128號8樓之2,2022/10/09,2022/11/08,在職
套房裝修設計與經營管理實務解析班,高雄市前金區中華四路283號5樓,2022/10/09,2022/11/08,在職
客戶開發、銷售議價與顧客關係管理實務班第02期,高雄市前金區大同二路145號5樓之五,2022/10/09,2022/11/08,在職
不動產經紀營業員專業訓練班第09期,高雄市新興區中山二路472號5樓之8,2022/10/09,2022/11/08,在職
商品彩繪設計師資培訓班第02期,高雄市鳳山區南京路146號,2022/10/08,2022/11/07,在職
紫微斗數實務班第02期,高雄市前鎮區鎮中路6號8樓,2022/10/08,2022/11/08,在職
Cisco網路建置實務班第02期,高雄市前鎮區中山二路2號25樓之5,2022/10/08,2022/12/01,在職
投資工具與金融商品操作實務班第02期,高雄市鼓山區中華一路203號7樓教育訓練中心C教室,2022/10/07,2022/12/04,在職
咖啡沖泡與拉花實作班第01期,高雄市新興區和平一路199號8樓,2022/10/07,2022/11/06,在職
多媒體簡報製作表達技巧實務班,高雄市鳳山區光遠路226號B1,2022/10/07,2022/11/06,在職
CSR企業社會責任輔導人員訓練班第01期,高雄市新興區中山二路472號12樓之12,2022/10/07,2022/11/06,在職
精緻快速剪髮就業專班 第01期,高雄市,2022/10/07,2022/11/08,職前
協商與溝通談判實務班第01期,高雄市新興區中山二路472號12樓之12,2022/10/06,2022/11/05,在職
都市更新及危老重建訓練班第01期,高雄市前鎮區民權二路462號11樓,2022/10/06,2022/11/05,在職
創意皂品調配學士學分班第01期,高雄市苓雅區中正二路30號,2022/10/06,2022/11/05,在職
信託2.0基礎班,高雄市苓雅區中正一路249號7樓之1,2022/10/06,2022/11/05,在職
經典早午餐製作實務班第01期,高雄市仁武區鳳仁路253號,2022/10/06,2022/11/05,在職
傳統整復推拿初級技術員職能基準單元課程班第01期,高雄市三民區建工路747號2樓,2022/10/06,2022/11/05,在職
凝膠指甲沙龍應用班第06期,高雄市鼓山區文忠路108號3樓,2022/10/06,2022/11/05,在職
不動產繼承登記與法律應用班第01期,高雄市苓雅區光華一路206號17樓之5,2022/10/06,2022/11/05,在職
專利分析佈局及說明書撰寫實務班第01期,高雄市鼓山區中華一路203號7樓教育訓練中心C教室,2022/10/06,2022/12/10,在職
草本植粹與清潔保養品調製班第01期,高雄市苓雅區中正二路175號13樓之3,2022/10/05,2022/11/04,在職
保養與潔膚品調製班,高雄市三民區建國二路34號13樓,2022/10/05,2022/11/04,在職
BIM 模型檢核NAVISWORKS實務學士學分班第01期,高雄市楠梓區海專路142號,2022/10/05,2022/11/05,在職
ESG企業永續發展及專利系統永續DNA報告書實務班,高雄市苓雅區成功一路232號16樓,2022/10/05,2022/11/04,在職
產後恢復師人才養成班 第01期,高雄市,2022/10/04,2022/11/21,職前
生命服務禮儀人員訓練班,高雄市大寮區進學路151號,2022/10/04,2022/11/05,在職
經絡調理手技與牛角輔具應用課程班第01期,高雄市三民區建工路747號2樓,2022/10/03,2022/11/02,在職
包租代管與房屋買賣租賃評估實務班第01期,高雄市苓雅區光華一路206號17樓之5,2022/10/03,2022/11/02,在職
茶葉感官品評與生活茶美學班第04期,高雄市苓雅區中正二路30號8樓,2022/10/03,2022/11/02,在職
新零售門市創業與經營人才培訓班 第01期,高雄市,2022/10/03,2022/10/24,職前
Wordpress暨臉書投放廣告實務班,高雄市鳳山區光遠路226號B1,2022/10/02,2022/11/01,在職
鋼構組配作業主管教育訓練班第01期,高雄市苓雅區中正一路315號4樓之2,2022/10/01,2022/10/31,在職
太陽光電案場規劃及機電設計班第02期,高雄市左營區政德路595號2樓,2022/10/01,2022/11/01,在職
多益英語能力提升進階班第05期,高雄市三民區九如二路255號12樓之一,2022/09/30,2022/10/31,在職
商務英文口譯人才訓練班第02期,高雄市前金區大同二路145號5樓之五,2022/09/30,2022/10/30,在職
太陽光電維運班第01期,高雄市左營區政德路595號2樓,2022/09/29,2022/10/29,在職
勞務與人力資源實務班第01期,高雄市鹽埕區中正四路274號,2022/09/29,2022/10/29,在職
勞動事件法與勞動關係管理實務班第01期,高雄市三民區博愛一路391號3F-1,2022/09/29,2022/10/29,在職
公寓大廈設施設備點交檢測培訓班第01期,高雄市三民區三民街222號,2022/09/29,2022/10/29,在職
手感咖啡飲料調製班第01期,高雄市苓雅區中正一路102號,2022/09/29,2022/11/12,在職
烘焙麵包實作班第02期,高雄市鳳山區和平路42號,2022/09/29,2022/10/29,在職
不動產經紀營業員專業訓練班第02期,高雄市前鎮區民權二路462號11樓,2022/09/27,2022/10/27,在職
非破壞檢測技術及應用訓練班第01期,高雄市楠梓區高楠公路1001號2樓教室,2022/09/26,2022/10/26,在職
不動產經紀營業員進階訓練班第01期,高雄市苓雅區光華一路206號17樓之5,2022/09/26,2022/10/26,在職
快速剪髮實務班第01期,高雄市三民區三民街222號六樓(三民市場旁),2022/09/26,2022/10/26,在職
