課程名稱,上課地點,開放報名,開課日期,性質
烘焙丙級證照輔導班 第01期,宜蘭縣,2022/02/10,2022/07/11,職前
韓語基礎與文法會話班,宜蘭縣宜蘭市女中路三段62號7樓,2022/02/09,2022/03/11,在職
中餐烹調實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/02/08,2022/03/10,在職
基礎日本語實用班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/02/08,2022/03/10,在職
電腦3D繪圖設計與輸出班 第01期,宜蘭縣,2022/02/01,2022/06/30,職前
移動式起重機操作訓練班,宜蘭縣羅東鎮中山路２段123號,2022/01/28,2022/03/08,在職
手工編織創意實作班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/01/28,2022/03/08,在職
建築潮流家俱美學班第01期,宜蘭縣羅東鎮中華路189號,2022/01/27,2022/03/07,在職
創意飾物彩繪實作班,宜蘭縣宜蘭市大坡路一段5號,2022/01/27,2022/03/23,在職
文創特色手工皂製作班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/01/27,2022/03/07,在職
私房料理實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/01/27,2022/03/07,在職
創意商品設計及包裝特色製成班第01期,宜蘭縣五結鄉五結路二段370號,2022/01/26,2022/03/06,在職
中餐丙級證照輔導班 第01期,宜蘭縣,2022/01/26,2022/07/26,職前
原鄉商品行銷實務班 第01期,宜蘭縣,2022/01/25,2022/08/30,職前
原鄉休閒餐旅特色班 第01期,宜蘭縣,2022/01/25,2022/07/20,職前
冷氣清洗與家電維修班 第01期,宜蘭縣,2022/01/25,2022/08/29,職前
企業資訊軟體與多媒體電商技能培訓班 第01期,宜蘭縣,2022/01/25,2022/03/09,職前
運動觀光之設計與實務專題碩士學分班第01期,宜蘭縣宜蘭市中山路三段257號5樓,2022/01/24,2022/02/23,在職
不動產營業員實務訓練班第01期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/01/23,2022/02/22,在職
固定式起重機操作訓練班,宜蘭縣羅東鎮中山路２段123號,2022/01/23,2022/02/22,在職
綠能植物組合技巧實作班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/01/22,2022/03/02,在職
簡易咖啡拉花基礎實作班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/01/22,2022/02/21,在職
沙龍凝膠美甲手繪進階班,宜蘭縣宜蘭市中山路２段68巷12弄2號,2022/01/21,2022/02/20,在職
電腦平面繪圖及LINE貼圖設計應用班 第02期,宜蘭縣,2022/01/21,2022/08/25,職前
複合式餐飲烘焙訓練班第01期,宜蘭縣五結鄉國民南路5之15號,2022/01/20,2022/02/19,在職
職場安全衛生管理員訓練班,宜蘭縣羅東鎮中山路２段123號,2022/01/19,2022/02/16,在職
伴手禮美食料理訓練班第01期,宜蘭縣五結鄉國民南路5之15號,2022/01/19,2022/02/13,在職
花與藝術設計實務班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/01/18,2022/02/17,在職
美容技法及彩妝培訓班 第01期,宜蘭縣,2022/01/14,2022/08/31,職前
樂活蔬食烹飪證照輔導班 第01期,宜蘭縣,2022/01/14,2022/07/05,職前
無人機影像技術工程師養成班,宜蘭縣宜蘭市神農路一段1號,2022/01/12,2022/03/16,青年
烘焙證照輔導暨創業實務班 第01期,宜蘭縣,2022/01/11,2022/06/13,職前
魔髮整體造型暨靚妍美睫人才培訓班 第01期,宜蘭縣,2021/12/17,2022/06/23,職前
智慧型手機故障維修人才培訓班 第01期,宜蘭縣,2021/12/17,2022/06/28,職前
蘭陽地方特色小吃與百元熱炒創業培訓班 第01期,宜蘭縣,2021/12/17,2022/05/09,職前
百變髮型暨精油舒壓沙龍培訓班 第01期,宜蘭縣,2021/12/17,2022/04/07,職前
蘭陽觀光工廠與休閒農業景點遊憩解說班 第01期,宜蘭縣,2021/12/16,2022/02/23,職前
永續農作與農產加工班 第01期,宜蘭縣,2021/12/13,2022/03/09,職前
綠色旅遊從業人員培訓班 第01期,宜蘭縣,2021/12/13,2022/06/08,職前
水電(宜蘭) 第01期,宜蘭縣,2021/12/10,2022/03/21,職前
室內香草植栽盆景擺設培訓班 第01期,宜蘭縣,2021/12/09,2022/03/09,職前
原味烘焙技能培訓班 第01期,宜蘭縣,2021/12/08,2022/04/01,職前
後疫情蘭陽觀光旅遊導覽解說班 第01期,宜蘭縣,2021/12/08,2022/06/06,職前
蔬果嫁接暨組織培養精緻農業班 第01期,宜蘭縣,2021/12/08,2022/04/07,職前
文創小物設計班 第01期,宜蘭縣,2021/12/07,2022/06/23,職前
農產電商行銷班 第01期,宜蘭縣,2021/12/07,2022/04/27,職前
行動美容指間訓練班 第01期,宜蘭縣,2021/12/06,2022/05/18,職前
創意新娘整體造型班 第01期,宜蘭縣,2021/12/06,2022/02/22,職前
時尚手工創作實務班 第01期,宜蘭縣,2021/12/06,2022/04/26,職前
造園景觀-住宅開放空間景觀設計施作(假日班)(宜蘭)第01期,宜蘭縣,2021/12/05,2022/04/10,在職
寵物美容行為照護訓練班 第01期,宜蘭縣,2021/12/02,2022/03/16,職前
幸福手感烘焙直播銷售實務班 第01期,宜蘭縣,2021/12/02,2022/03/02,職前
數位影音多媒體整合應用班 第01期,宜蘭縣,2021/12/02,2022/06/15,職前
企業資訊整合與雲端應用班 第01期,宜蘭縣,2021/12/02,2022/02/21,職前
綠意角落木作設計培訓班 第01期,宜蘭縣,2021/11/30,2022/03/23,職前
異國料理與食物製備訓練班 第01期,宜蘭縣,2021/11/30,2022/02/23,職前
藝術彩妝美甲訓練班 第01期,宜蘭縣,2021/11/30,2022/02/16,職前
